iter	MultiClass
0	2.978783245
1	2.742267195
2	2.58185293
3	2.457470167
4	2.357506091
5	2.275115948
6	2.200668616
7	2.137571223
8	2.082309195
9	2.035826761
10	1.992923598
11	1.953171102
12	1.917744265
13	1.885411076
14	1.856724045
15	1.831598042
16	1.803501702
17	1.780359245
18	1.75640242
19	1.73605172
20	1.714946959
21	1.697177776
22	1.679692677
23	1.666047228
24	1.651150847
25	1.639771285
26	1.628940984
27	1.6177803
28	1.608479184
29	1.59869253
30	1.589243499
31	1.574359583
32	1.557199238
33	1.547437442
34	1.5352944
35	1.528285552
36	1.522490447
37	1.513290347
38	1.507259781
39	1.49924309
40	1.49181935
41	1.484553165
42	1.475421503
43	1.468849309
44	1.459449182
45	1.451501915
46	1.44437186
47	1.441782993
48	1.437584525
49	1.434041021
50	1.427732497
51	1.423229788
52	1.418471983
53	1.415641604
54	1.411482524
55	1.405425078
56	1.398947865
57	1.39552854
58	1.390413927
59	1.387297512
60	1.384781449
61	1.381211127
62	1.378263521
63	1.375029898
64	1.370799094
65	1.369506604
66	1.365395425
67	1.361155079
68	1.357733754
69	1.353254172
70	1.350812813
71	1.34703645
72	1.344601558
73	1.342028635
74	1.338972904
75	1.337844936
76	1.335412991
77	1.33106452
78	1.325667207
79	1.32188969
80	1.320204321
81	1.317293042
82	1.31306787
83	1.308981058
84	1.306103083
85	1.304030873
86	1.301638174
87	1.299451492
88	1.297118841
89	1.295692058
90	1.29392759
91	1.291629173
92	1.289935638
93	1.287140028
94	1.284971113
95	1.282749111
96	1.279778018
97	1.278791707
98	1.276001782
99	1.273273853
100	1.270880348
101	1.268881963
102	1.267185797
103	1.265450872
104	1.264311023
105	1.262216459
106	1.261227873
107	1.259526516
108	1.256817566
109	1.255688381
110	1.254390536
111	1.252610133
112	1.250914061
113	1.249694071
114	1.246606448
115	1.245953475
116	1.245132696
117	1.243664413
118	1.242267265
119	1.240509524
120	1.238940592
121	1.238256697
122	1.236925879
123	1.23564594
124	1.232951907
125	1.231521885
126	1.230261454
127	1.229512243
128	1.22842914
129	1.225847831
130	1.223765333
131	1.221730863
132	1.219847267
133	1.218334063
134	1.217820798
135	1.216668297
136	1.214353203
137	1.213720135
138	1.212782708
139	1.211060582
140	1.209576253
141	1.208497274
142	1.20671752
143	1.205176003
144	1.203674608
145	1.202473179
146	1.200155289
147	1.198827955
148	1.197363092
149	1.196768335
150	1.195418296
151	1.193833881
152	1.192511647
153	1.191538807
154	1.189510865
155	1.187571014
156	1.18600531
157	1.18415588
158	1.182794394
159	1.181052216
160	1.180473015
161	1.17918762
162	1.178669791
163	1.177755313
164	1.17642521
165	1.17421259
166	1.173547966
167	1.172510383
168	1.170793888
169	1.169839228
170	1.168582112
171	1.166900597
172	1.165750379
173	1.165295117
