iter	Passed	Remaining
0	17	17601
1	36	18170
2	52	17610
3	69	17288
4	89	17722
5	107	17877
6	130	18578
7	154	19163
8	174	19209
9	195	19306
10	208	18738
11	228	18789
12	241	18326
13	284	20009
14	311	20458
15	330	20302
16	349	20190
17	367	20050
18	385	19880
19	401	19671
20	418	19519
21	439	19537
22	463	19691
23	496	20176
24	515	20100
25	535	20053
26	558	20113
27	570	19801
28	588	19703
29	605	19569
30	626	19578
31	644	19500
32	663	19451
33	686	19495
34	705	19465
35	726	19453
36	742	19327
37	761	19269
38	781	19246
39	800	19208
40	818	19136
41	836	19071
42	856	19060
43	873	18977
44	901	19141
45	922	19138
46	940	19073
47	956	18968
48	973	18884
49	993	18874
50	1012	18834
51	1032	18815
52	1051	18783
53	1067	18703
54	1087	18683
55	1108	18680
56	1127	18659
57	1146	18621
58	1164	18577
59	1184	18557
60	1201	18500
61	1220	18464
62	1237	18398
63	1255	18365
64	1274	18334
65	1297	18360
66	1363	18987
67	1417	19430
68	1466	19791
69	1520	20205
70	1558	20387
71	1581	20387
72	1607	20417
73	1626	20356
74	1646	20305
75	1663	20222
76	1684	20190
77	1702	20125
78	1721	20071
79	1739	20004
80	1757	19937
81	1777	19894
82	1793	19810
83	1813	19772
84	1857	19996
85	1887	20055
86	1910	20054
87	1931	20013
88	1949	19957
89	1970	19928
90	1987	19854
91	2006	19805
92	2024	19748
93	2044	19700
94	2063	19661
95	2082	19611
96	2103	19584
97	2120	19512
98	2139	19467
99	2155	19398
100	2174	19355
101	2194	19324
102	2211	19262
103	2229	19207
104	2248	19165
105	2268	19133
106	2291	19124
107	2310	19080
108	2330	19046
109	2349	19009
110	2367	18964
111	2384	18909
112	2404	18875
113	2421	18819
114	2442	18793
115	2463	18776
116	2482	18736
117	2509	18754
118	2533	18755
119	2552	18718
120	2572	18688
121	2595	18676
122	2612	18630
123	2631	18593
124	2649	18543
125	2667	18502
126	2687	18470
127	2708	18453
128	2731	18442
129	2751	18413
130	2770	18380
131	2788	18338
132	2808	18306
133	2828	18279
134	2849	18256
135	2866	18208
136	2884	18171
137	2902	18128
138	2929	18144
139	2949	18121
140	2971	18100
141	2991	18074
142	3013	18058
143	3034	18035
144	3054	18012
145	3074	17985
146	3094	17956
147	3114	17928
148	3132	17893
149	3160	17910
150	3180	17884
151	3204	17877
152	3224	17850
153	3242	17812
154	3263	17788
155	3285	17775
156	3305	17746
157	3324	17717
158	3343	17684
159	3386	17777
160	3410	17770
161	3431	17750
162	3451	17722
163	3469	17688
164	3489	17657
165	3506	17616
166	3528	17598
167	3550	17582
168	3574	17575
169	3594	17551
170	3616	17533
171	3636	17503
172	3655	17473
173	3673	17437
174	3691	17400
175	3710	17373
176	3729	17338
177	3748	17310
178	3772	17304
179	3794	17283
180	3816	17267
181	3834	17232
182	3851	17195
183	3870	17164
184	3888	17132
185	3910	17112
186	3928	17078
187	3948	17055
188	3973	17051
189	3997	17041
190	4017	17016
191	4037	16990
192	4057	16967
193	4077	16939
194	4095	16906
195	4114	16877
196	4134	16853
197	4155	16830
198	4177	16815
199	4201	16807
200	4228	16807
201	4249	16788
202	4271	16771
203	4292	16747
204	4312	16723
205	4331	16695
206	4354	16681
207	4372	16647
208	4391	16622
209	4412	16597
210	4433	16578
211	4455	16559
212	4471	16523
213	4491	16497
214	4511	16471
215	4535	16463
216	4560	16456
217	4584	16446
218	4605	16424
219	4627	16405
220	4656	16413
221	4675	16384
222	4696	16362
223	4720	16354
224	4758	16388
225	4778	16364
226	4797	16337
227	4822	16327
228	4845	16314
229	4867	16294
230	4886	16267
231	4908	16249
232	4929	16227
233	4949	16201
234	4969	16176
235	4986	16144
236	5008	16123
237	5027	16097
238	5046	16069
239	5073	16067
240	5095	16046
241	5114	16018
242	5134	15996
243	5156	15977
244	5181	15968
245	5202	15945
246	5224	15927
247	5244	15901
248	5265	15881
249	5289	15869
250	5311	15849
251	5331	15825
252	5355	15812
253	5375	15788
254	5394	15761
255	5416	15741
256	5438	15724
257	5462	15708
258	5487	15699
259	5520	15711
260	5542	15693
261	5563	15671
262	5583	15647
263	5604	15624
264	5621	15592
265	5639	15561
266	5657	15531
267	5675	15502
