iter	MultiClass
0	3.06123605
1	2.797359123
2	2.642790264
3	2.511827056
4	2.412987999
5	2.338020165
6	2.262463003
7	2.200420661
8	2.148729791
9	2.098721892
10	2.053474342
11	2.014646124
12	1.977271735
13	1.94470305
14	1.914473058
15	1.88807562
16	1.86323943
17	1.840789805
18	1.818645917
19	1.794014713
20	1.774940019
21	1.758003327
22	1.741817292
23	1.72748086
24	1.71227721
25	1.697770551
26	1.686199378
27	1.674559145
28	1.663865254
29	1.654050383
30	1.644608161
31	1.635632775
32	1.624045609
33	1.612475944
34	1.602979678
35	1.594714506
36	1.587451223
37	1.5772502
38	1.571168139
39	1.564430961
40	1.559521368
41	1.551241807
42	1.54550634
43	1.538639929
44	1.53333384
45	1.529562846
46	1.524426244
47	1.520534101
48	1.516059291
49	1.511270015
50	1.507218585
51	1.504182131
52	1.500318965
53	1.497288797
54	1.494597112
55	1.491373156
56	1.485874404
57	1.48327818
58	1.480793263
59	1.479039498
60	1.476946989
61	1.475185286
62	1.473095607
63	1.470938453
64	1.46892499
65	1.466388751
66	1.46507457
67	1.462362682
68	1.460881612
69	1.459277602
70	1.457161842
71	1.454971602
72	1.452096875
73	1.45064051
74	1.449798716
75	1.447616054
76	1.444640275
77	1.440885042
78	1.439825856
79	1.437158423
80	1.432620265
81	1.430769611
82	1.42956892
83	1.427484387
84	1.424993038
85	1.422565524
86	1.421079809
87	1.41734225
88	1.414152234
89	1.410832495
90	1.4094171
91	1.408143119
92	1.406670404
93	1.40410117
94	1.401607968
95	1.399520445
96	1.397903528
97	1.395780988
98	1.395121886
99	1.394707535
100	1.39180318
101	1.390411433
102	1.387564419
103	1.385961852
104	1.383936439
105	1.382404316
106	1.38119999
107	1.380092875
108	1.377409588
109	1.37686982
110	1.375385785
111	1.373045746
112	1.371504215
113	1.369569569
114	1.36721102
115	1.365478381
116	1.364357523
117	1.363782561
118	1.362437615
119	1.361393807
120	1.35946833
121	1.356466536
122	1.35452673
123	1.353535842
124	1.352476787
125	1.35115834
126	1.350598157
127	1.349644036
128	1.348079263
129	1.347051125
130	1.346448559
131	1.34465527
132	1.343425601
133	1.342256386
134	1.341068916
135	1.340269565
136	1.338135879
137	1.33750444
138	1.335577113
139	1.335089763
140	1.333326392
141	1.33217173
142	1.331174286
143	1.33003223
144	1.328343387
145	1.326808461
146	1.324704374
147	1.323237632
148	1.321138324
149	1.319912359
150	1.318922134
151	1.318497701
152	1.317539375
153	1.317008676
154	1.315540169
155	1.313960769
156	1.313059758
157	1.312121709
158	1.310452018
159	1.308551964
160	1.307172912
161	1.305859818
162	1.304985123
163	1.303294441
164	1.302336512
165	1.301362489
166	1.300249191
167	1.299484956
168	1.298554131
169	1.297612172
170	1.296667686
171	1.295671806
172	1.294020981
173	1.293120459
174	1.2921568
175	1.290718368
176	1.289449979
177	1.288787584
178	1.287129401
179	1.286203198
180	1.285428701
181	1.284142925
182	1.28250806
183	1.2811794
184	1.28027084
185	1.279204686
186	1.278180947
187	1.277416972
188	1.276287529
189	1.275375709
190	1.274162544
191	1.273129319
192	1.27192363
193	1.27051439
194	1.269557394
195	1.268595233
196	1.267217235
197	1.266116863
198	1.264893276
199	1.263591062
200	1.262606553
201	1.261866511
202	1.26101459
203	1.259667357
204	1.258429016
205	1.257539781
206	1.256234963
207	1.255207934
208	1.254289367
209	1.253222298
210	1.252290635
211	1.251266912
212	1.250115411
213	1.249329891
214	1.248251688
215	1.247181695
216	1.246090316
217	1.244850453
218	1.243603772
219	1.24247855
220	1.242051228
221	1.240979167
222	1.240583977
223	1.239493297
224	1.238337778
225	1.237622538
226	1.236566598
227	1.235758665
228	1.235088576
229	1.234125541
230	1.23319441
231	1.232283758
232	1.231469672
233	1.230675917
234	1.229819854
235	1.229028356
236	1.227913847
237	1.227189555
238	1.226587916
239	1.225760127
240	1.224886965
241	1.223881952
242	1.222931814
243	1.222045135
244	1.221405141
245	1.220353959
246	1.219451253
247	1.219115862
248	1.21834626
249	1.217314096
250	1.216588676
251	1.215515964
252	1.214652899
253	1.213848442
254	1.213307962
255	1.212463246
256	1.211712181
257	1.211163114
258	1.210633136
259	1.209971098
260	1.209060904
261	1.208186801
262	1.207198688
263	1.206406809
264	1.205630567
265	1.204663653
266	1.203996695
267	1.203352997
268	1.202466053
269	1.202063989
270	1.201402745
271	1.200502518
272	1.199901662
273	1.199056334
274	1.198036606
275	1.197756675
276	1.197390372
277	1.196717103
278	1.195962204
279	1.195382087
280	1.194599894
281	1.194032583
282	1.193166654
283	1.192575326
284	1.191906753
285	1.191042302
286	1.190667929
287	1.189750152
288	1.189421741
289	1.188911515
290	1.188271688
291	1.187621845
292	1.187028667
293	1.186387779
294	1.185742721
295	1.185167589
296	1.184474718
297	1.183702246
298	1.182983274
299	1.182236642
300	1.181426017
301	1.180857898
302	1.180344516
303	1.179529564
304	1.178598666
305	1.17791679
306	1.177152672
307	1.176723365
308	1.176258828
309	1.175885343
310	1.175082494
311	1.174566561
312	1.17405928
313	1.173425072
314	1.172853554
315	1.17237389
316	1.171907067
317	1.17106192
318	1.170370402
319	1.169735303
320	1.168965408
321	1.168459932
322	1.168030796
323	1.167163746
324	1.166744686
325	1.16629276
326	1.16585265
327	1.165109985
328	1.164519561
329	1.163870487
330	1.163263597
331	1.162796388
332	1.162313736
333	1.161602423
334	1.160691135
335	1.159885705
336	1.159182568
337	1.15864788
338	1.158269057
339	1.157712845
340	1.157166346
341	1.156457107
342	1.155803519
343	1.155184733
344	1.154561461
345	1.153994672
346	1.153274102
347	1.152758098
348	1.152171851
349	1.151760206
350	1.151494831
351	1.151038335
352	1.150814883
353	1.150303391
354	1.149912507
355	1.149381395
356	1.148707392
357	1.148195039
358	1.147703032
359	1.147278812
360	1.146672407
361	1.146179701
362	1.145593972
363	1.145190574
364	1.144462322
365	1.143920472
366	1.143523232
367	1.143068446
368	1.14270505
369	1.14211882
370	1.141659959
371	1.141078665
372	1.140247391
373	1.139763362
374	1.139224912
375	1.13867495
376	1.138207595
377	1.137641786
378	1.137129187
379	1.136587029
380	1.136163991
381	1.135590356
382	1.135053461
383	1.134487032
384	1.133882417
385	1.133415313
386	1.132907113
387	1.132482848
388	1.132003629
389	1.131405685
390	1.131037339
391	1.130224003
392	1.129893141
393	1.129198589
394	1.128704342
395	1.128265992
396	1.127867133
397	1.127267545
398	1.12689369
399	1.126569788
400	1.126141547
401	1.125680083
402	1.125210363
403	1.124956706
404	1.124444304
405	1.124295374
406	1.123764733
407	1.123256471
408	1.122638728
409	1.122001761
410	1.121552009
411	1.120909043
412	1.120369393
413	1.120004626
414	1.119643235
415	1.119291438
416	1.11882282
417	1.118570342
418	1.118119001
419	1.117663085
420	1.117462114
421	1.117289027
422	1.117092439
423	1.116552632
424	1.116005613
425	1.115364541
426	1.11482932
427	1.114459268
428	1.114056436
429	1.113794883
430	1.11331699
431	1.112855604
432	1.112407859
433	1.111960382
434	1.111709115
435	1.11136433
436	1.110959604
437	1.110512108
438	1.110086195
439	1.109673238
440	1.109058614
441	1.108700596
442	1.108328845
443	1.108026781
444	1.107755612
445	1.10727125
446	1.106832015
447	1.10620807
448	1.105833371
449	1.105445864
450	1.104939825
451	1.104853934
452	1.104472637
453	1.104137838
454	1.103583082
455	1.103331576
456	1.102956416
457	1.102374959
458	1.10213356
459	1.1017727
460	1.101309798
461	1.100843732
462	1.100422314
463	1.100003257
464	1.099572254
465	1.099042187
466	1.098663269
467	1.098231905
468	1.097843012
469	1.097360309
470	1.096878924
471	1.096430247
472	1.09611674
473	1.095698371
474	1.095288766
475	1.094890936
476	1.09441043
477	1.094027489
478	1.093750518
479	1.093214358
480	1.092893992
481	1.09254645
482	1.092037821
483	1.091718807
484	1.09125831
485	1.090899148
486	1.090526687
487	1.090201234
488	1.089687121
489	1.089420311
490	1.089010002
491	1.088740705
492	1.088263823
493	1.08787317
494	1.087484381
495	1.087057321
496	1.086872865
497	1.086642981
498	1.086483952
499	1.086123883
500	1.085874115
501	1.085546148
502	1.085062403
503	1.084670875
504	1.084172843
505	1.083588041
506	1.083259469
507	1.082883963
508	1.082450903
509	1.082059951
510	1.081860612
511	1.081629809
512	1.081279268
513	1.081076086
514	1.080668838
515	1.080249823
516	1.079888286
517	1.079647295
518	1.079167286
519	1.078779682
520	1.078487125
521	1.077998718
522	1.077695868
523	1.077418042
524	1.076978009
525	1.076541821
526	1.076290911
527	1.075939193
528	1.075647686
