iter	Passed	Remaining
0	6	6167
1	9	4743
2	14	4885
3	18	4568
4	23	4672
5	28	4727
6	32	4596
7	37	4626
8	42	4700
9	46	4634
10	51	4645
11	56	4653
12	61	4679
13	65	4604
14	70	4641
15	75	4670
16	80	4675
17	85	4687
18	90	4652
19	95	4687
20	99	4633
21	104	4657
22	108	4617
23	113	4632
24	118	4631
25	124	4651
26	128	4616
27	132	4587
28	137	4596
29	142	4599
30	147	4605
31	151	4585
32	156	4589
33	161	4599
34	167	4605
35	172	4615
36	177	4619
37	182	4626
38	188	4640
39	193	4643
40	198	4632
41	203	4639
42	208	4643
43	213	4642
44	218	4646
45	222	4619
46	227	4615
47	232	4613
48	237	4617
49	243	4626
50	248	4630
51	252	4605
52	257	4603
53	262	4598
54	268	4608
55	273	4616
56	278	4609
57	283	4604
58	288	4602
59	291	4573
60	296	4568
61	300	4542
62	305	4538
63	310	4533
64	314	4526
65	319	4525
66	324	4521
67	329	4514
68	334	4511
69	338	4503
70	343	4497
71	349	4502
72	354	4502
73	359	4499
74	363	4477
75	368	4475
76	373	4471
77	377	4467
78	383	4466
79	388	4466
80	393	4465
81	398	4460
82	403	4460
83	408	4455
84	413	4449
85	419	4453
86	424	4454
87	431	4472
88	438	4488
89	445	4507
90	470	4699
91	478	4720
92	484	4725
93	490	4731
94	496	4731
95	502	4735
96	508	4730
97	513	4722
98	518	4715
99	522	4702
100	528	4702
101	533	4693
102	538	4685
103	544	4688
104	549	4680
105	554	4675
106	559	4671
107	564	4662
108	569	4654
109	574	4650
110	579	4644
111	584	4634
112	589	4629
113	595	4625
114	601	4626
115	607	4626
116	612	4621
117	617	4613
118	622	4606
119	627	4603
120	632	4594
121	637	4587
122	642	4584
123	649	4585
124	654	4584
125	659	4577
126	664	4570
127	669	4564
128	675	4563
129	680	4556
130	685	4549
131	690	4542
132	695	4535
133	700	4529
134	706	4525
135	710	4516
136	715	4507
137	721	4503
138	726	4497
139	730	4490
140	736	4484
141	740	4475
142	746	4471
143	751	4466
144	756	4460
145	761	4453
146	766	4447
147	771	4441
148	776	4434
149	781	4426
150	786	4423
151	791	4417
152	796	4409
153	801	4402
154	806	4397
155	811	4389
156	816	4382
157	821	4379
158	826	4372
159	832	4370
160	837	4365
161	843	4361
162	848	4355
163	853	4351
164	858	4346
165	871	4376
166	882	4399
167	887	4393
168	894	4396
169	899	4392
170	904	4387
171	909	4379
172	914	4373
173	920	4369
174	925	4362
175	930	4357
176	936	4352
177	940	4343
178	946	4339
179	951	4333
180	956	4326
181	961	4320
182	966	4316
183	971	4309
184	976	4303
185	981	4297
186	986	4290
187	991	4282
188	996	4276
189	1001	4269
190	1006	4262
191	1011	4255
192	1016	4249
193	1021	4242
194	1025	4234
195	1031	4229
196	1036	4223
197	1040	4216
198	1046	4212
199	1052	4210
200	1058	4206
201	1063	4201
202	1068	4194
203	1073	4187
204	1077	4180
205	1082	4173
206	1087	4167
207	1093	4163
208	1099	4159
209	1104	4153
210	1109	4147
211	1114	4141
212	1118	4134
213	1123	4127
214	1129	4122
215	1134	4116
216	1139	4111
217	1144	4105
218	1149	4098
219	1154	4093
220	1159	4088
221	1164	4082
222	1170	4077
223	1175	4071
224	1180	4064
225	1184	4057
226	1189	4052
227	1195	4047
228	1200	4040
229	1205	4034
230	1210	4028
231	1215	4023
232	1220	4016
233	1224	4009
234	1229	4003
235	1234	3997
236	1240	3993
237	1245	3987
238	1250	3982
239	1256	3980
240	1262	3975
241	1279	4006
242	1289	4017
243	1300	4029
244	1314	4049
245	1322	4054
246	1329	4051
247	1334	4047
248	1341	4045
249	1347	4041
250	1352	4034
251	1357	4029
252	1362	4023
253	1367	4017
254	1373	4013
255	1379	4008
256	1384	4002
257	1389	3996
258	1394	3990
259	1399	3983
260	1404	3977
261	1410	3971
262	1414	3964
263	1419	3957
264	1424	3951
265	1430	3946
266	1435	3940
267	1440	3933
268	1445	3928
269	1450	3922
270	1456	3917
271	1462	3913
272	1467	3908
273	1472	3902
274	1478	3896
275	1483	3890
276	1488	3884
277	1493	3880
278	1498	3873
279	1503	3867
280	1509	3861
281	1514	3855
282	1519	3849
283	1524	3843
284	1529	3836
285	1534	3829
286	1540	3826
287	1545	3820
288	1550	3814
289	1556	3809
290	1560	3802
291	1566	3797
292	1571	3791
293	1576	3785
294	1581	3779
295	1586	3772
296	1591	3767
297	1596	3760
298	1601	3754
299	1606	3749
300	1612	3744
301	1617	3738
302	1622	3732
303	1628	3727
304	1633	3721
305	1638	3717
306	1644	3712
307	1649	3705
308	1655	3701
309	1660	3696
310	1665	3689
311	1670	3684
312	1676	3679
313	1681	3673
314	1693	3682
315	1704	3688
316	1710	3686
317	1716	3680
318	1722	3676
319	1727	3670
320	1732	3665
321	1738	3660
322	1743	3654
323	1748	3648
324	1755	3645
325	1760	3640
326	1765	3634
327	1770	3627
328	1775	3621
329	1780	3615
330	1785	3609
331	1791	3604
332	1796	3598
333	1801	3593
334	1806	3586
335	1811	3580
336	1816	3574
337	1821	3567
338	1826	3561
339	1831	3556
340	1837	3550
341	1842	3544
342	1847	3539
343	1852	3532
344	1857	3526
345	1862	3520
346	1868	3515
347	1873	3509
348	1878	3503
349	1883	3498
350	1889	3493
351	1894	3488
352	1900	3483
353	1905	3477
354	1910	3470
355	1915	3464
356	1920	3458
357	1924	3451
358	1930	3446
359	1935	3440
360	1940	3434
361	1946	3431
362	1951	3425
363	1956	3419
364	1961	3412
365	1966	3406
366	1971	3400
367	1977	3395
368	1982	3389
369	1987	3383
370	1991	3377
371	1996	3371
372	2001	3364
373	2007	3359
374	2012	3353
375	2017	3347
376	2022	3341
377	2027	3336
378	2033	3331
379	2038	3326
380	2044	3320
381	2048	3314
382	2053	3308
383	2058	3302
384	2063	3296
385	2069	3291
386	2074	3285
387	2079	3280
388	2084	3274
389	2089	3268
390	2096	3264
391	2101	3259
392	2112	3263
393	2123	3265
394	2128	3260
395	2135	3256
396	2140	3251
397	2145	3245
398	2150	3239
399	2155	3233
400	2161	3228
401	2167	3223
402	2172	3218
403	2178	3213
404	2183	3207
405	2188	3202
406	2193	3196
407	2199	3190
408	2204	3185
409	2209	3179
410	2214	3173
411	2219	3167
412	2224	3161
413	2229	3155
414	2233	3149
415	2239	3143
416	2243	3136
417	2248	3131
418	2253	3125
419	2258	3119
420	2263	3112
421	2268	3107
422	2273	3101
423	2278	3095
424	2283	3089
425	2288	3083
426	2294	3078
427	2300	3074
428	2306	3070
429	2312	3065
430	2318	3060
431	2324	3056
432	2329	3050
433	2335	3045
434	2341	3041
435	2347	3036
436	2353	3032
437	2358	3026
438	2363	3019
439	2368	3014
440	2373	3008
441	2378	3002
442	2383	2996
443	2388	2991
444	2393	2984
445	2398	2978
446	2403	2973
447	2408	2967
448	2413	2961
449	2418	2955
450	2423	2950
451	2428	2944
452	2433	2938
453	2438	2932
454	2443	2926
455	2448	2920
456	2453	2915
457	2458	2909
458	2463	2904
459	2468	2898
460	2474	2892
461	2479	2886
462	2484	2881
463	2489	2876
464	2494	2870
465	2500	2865
466	2506	2860
467	2525	2870
468	2530	2865
469	2537	2861
470	2543	2856
471	2548	2851
472	2554	2846
473	2560	2841
474	2565	2835
475	2571	2830
476	2575	2824
477	2581	2818
478	2586	2813
479	2591	2807
480	2596	2801
481	2601	2796
482	2606	2790
483	2612	2784
484	2617	2778
485	2622	2773
486	2627	2767
487	2632	2762
488	2637	2756
489	2642	2750
490	2647	2744
491	2652	2739
492	2658	2733
493	2663	2727
494	2667	2721
495	2672	2716
496	2677	2710
497	2682	2704
498	2688	2698
499	2694	2694
500	2699	2688
501	2704	2683
502	2715	2682
503	2722	2679
504	2730	2676
505	2737	2672
506	2745	2669
507	2751	2664
508	2758	2660
509	2764	2656
510	2771	2652
511	2776	2646
512	2782	2641
513	2786	2635
514	2791	2629
515	2796	2622
516	2802	2618
517	2807	2612
518	2813	2607
519	2817	2600
520	2822	2595
521	2827	2589
522	2832	2583
523	2837	2577
524	2842	2571
525	2847	2565
526	2852	2559
527	2857	2553
528	2862	2548
529	2866	2542
530	2872	2536
531	2877	2531
532	2882	2525
533	2888	2520
534	2893	2514
535	2898	2509
536	2904	2504
537	2909	2498
538	2923	2500
539	2931	2497
540	2937	2491
541	2943	2487
542	2949	2482
543	2955	2477
544	2959	2471
545	2964	2465
546	2970	2460
547	2975	2454
548	2980	2448
549	2985	2443
550	2991	2437
551	2995	2431
552	3001	2426
553	3006	2420
554	3011	2414
555	3016	2408
556	3021	2402
557	3025	2396
558	3030	2391
559	3035	2385
560	3040	2379
561	3045	2373
562	3051	2368
563	3056	2362
564	3062	2357
565	3067	2351
566	3072	2346
567	3077	2341
568	3083	2335
569	3088	2329
570	3093	2324
571	3099	2319
572	3105	2314
573	3111	2309
574	3117	2304
575	3122	2298
576	3127	2292
577	3132	2287
578	3138	2281
579	3143	2276
580	3149	2271
581	3154	2265
582	3159	2260
583	3164	2254
584	3169	2248
585	3174	2242
586	3179	2237
587	3184	2231
588	3189	2225
589	3195	2220
590	3200	2214
591	3205	2209
592	3210	2203
593	3215	2197
594	3219	2191
595	3224	2186
596	3230	2180
597	3235	2174
598	3240	2169
599	3245	2163
600	3250	2157
601	3255	2152
602	3260	2146
603	3264	2140
604	3269	2134
605	3274	2128
606	3279	2123
607	3284	2117
608	3290	2112
609	3295	2107
610	3300	2101
611	3305	2095
612	3311	2090
613	3316	2084
614	3325	2081
615	3335	2079
616	3342	2074
617	3348	2069
618	3354	2064
619	3360	2059
620	3365	2053
621	3370	2048
622	3375	2042
623	3380	2037
624	3386	2031
625	3391	2026
626	3396	2020
627	3402	2015
628	3407	2010
629	3412	2004
630	3417	1998
631	3422	1993
632	3428	1987
633	3433	1982
634	3438	1976
635	3443	1970
636	3448	1965
637	3453	1959
638	3458	1954
639	3463	1948
640	3469	1943
641	3474	1937
642	3478	1931
643	3484	1926
644	3489	1920
645	3494	1914
646	3499	1909
647	3504	1903
648	3510	1898
649	3516	1893
650	3521	1888
651	3527	1882
652	3532	1877
653	3538	1871
654	3542	1866
655	3547	1860
656	3552	1854
657	3557	1848
658	3562	1843
659	3567	1837
660	3572	1832
661	3577	1826
662	3583	1821
663	3587	1815
664	3593	1810
665	3598	1804
666	3603	1798
667	3608	1793
668	3613	1787
669	3618	1782
670	3622	1776
671	3627	1770
672	3633	1765
673	3638	1759
674	3643	1754
675	3648	1748
676	3653	1743
677	3658	1737
678	3664	1732
679	3669	1726
680	3674	1721
681	3679	1715
682	3684	1710
683	3689	1704
684	3695	1699
685	3701	1694
686	3706	1688
687	3711	1683
688	3716	1677
689	3722	1672
690	3741	1673
691	3747	1668
692	3753	1662
693	3759	1657
694	3764	1651
695	3768	1646
696	3773	1640
697	3778	1634
